"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1094,8,7442.3561205,3791.0560728,100.2237292,21612.4521091,4311.1941726,253.914553,90.8795053,5.3048347
1104,8,8046.1635047,14500.8141927,214.8295193,77310.7790131,3625.3256694,400.0025312,187.4032763,9.6133603
1109,8,8518.5926537,4133.6842234,15.5016301,3128.6320951,4586.791039,268.7958954,106.2199808,5.5133108
1124,8,9617.4922329,1001.5868212,387.6114412,154266.7051415,1070.8769916,243.1542169,132.7243213,9.3777037
1126,8,9666.6334308,1507.3192752,470.3681763,392886.1384308,296.8746996,428.6048885,266.2388408,9.4896939
1131,8,10197.6551293,8885.9058184,127.2684131,16720.1898493,4272.3502227,168.2950398,39.1745943,7.0069607
1132,8,10079.5311283,11805.1840838,120.2826774,15010.2343936,4746.7728285,210.5174411,57.296267,8.7448891
1135,8,10637.0699403,21236.3937802,134.5509066,37174.8631748,4377.8111805,308.4167213,117.4570715,6.3547666
1157,8,12702.9982823,3914.8529272,152.5151946,22111.8058658,3933.3699392,221.1781919,73.0687749,9.6798283
1159,8,12885.370012,15513.5644926,213.0331932,102643.6071123,4207.3234527,475.8431456,228.1002154,8.472107
1163,8,13365.9421669,18966.2150305,168.7036663,134888.9461924,4212.2090333,608.4066698,283.8427344,5.2678036
1165,8,13450.8945618,13087.2282831,138.1270615,64173.0276786,5305.3636998,656.4898302,390.2925579,8.1698081
1167,8,13640.2747784,5327.2868959,121.031392,48295.7749931,3708.5233105,364.1833935,151.0802848,4.7588965
1176,8,14313.1800969,18320.5517002,14.9184107,3697.3806236,4461.3556372,355.9961479,188.3134571,6.0829557
1177,8,14490.3471734,6379.302839,128.1544692,40558.9325632,3166.8392451,337.3443407,198.4820368,5.8214695
1185,8,15270.7988913,7950.1239101,130.8302363,53018.584741,3084.8115276,361.4827449,192.0742307,4.9629489
1199,9,3110.8810755,9610.197219,116.8595146,19360.8981892,3650.6741399,322.3455786,156.2924451,9.8010356
1204,9,3700.5268191,16381.2502137,404.6733625,157695.2198736,1200.7907745,217.6495496,99.2735957,8.9581769
1206,9,3877.9851904,15261.1856153,460.7089438,373517.4289535,503.0333691,394.4841498,240.2028005,8.8240192
1208,9,4098.086261,12084.9390822,133.7828125,59590.4874419,4650.9682861,459.5098777,228.3027046,5.8265852
1225,9,5831.9786655,16353.0442048,572.9756505,522856.2322078,864.9025935,215.8169479,65.6128283,5.3888971
