"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1090,8,12804.6662058,7986.6784637,379.2669936,122044.3221837,2765.4041842,207.2354844,64.705694,9.6888357
1093,8,13171.5908001,9436.151649,261.6136279,63320.8410716,3231.0586911,201.3035787,58.233874,8.7352484
1111,8,14696.4870371,12375.6427811,232.057635,43554.9945517,2216.3443107,177.9735642,62.5240291,8.8938009
1115,8,15176.6831272,9837.6997356,521.8739299,427963.3160605,920.5980087,211.6882548,68.1694916,5.3643508
1121,9,2119.5990818,16794.3228701,131.4403527,68406.4949453,3413.0079253,409.0952209,193.0177001,4.3907682
1122,9,2739.3158333,7706.3491413,739.05293,818646.6369493,472.7763991,208.9620452,76.5073716,5.5355548
1124,9,2452.6190635,12780.9998391,4.3498337,1168.2427031,4232.5444735,199.0336847,64.8181831,9.4163443
1149,9,5205.9384638,4439.8110617,115.5783666,48060.0605868,4031.6320658,272.3118177,91.1990103,3.3260496
1153,9,5198.057887,19651.5965185,154.8769552,107867.9485233,4146.0484247,523.864559,280.1972342,4.8305949
1155,9,5630.6781837,5976.2646917,437.3581037,201324.4562067,2525.8150625,241.5786261,84.550055,9.0749448
1160,9,6058.8811896,12319.0434316,152.1765179,97188.931467,4514.1166006,570.7465893,250.6654559,5.6398592
1161,9,5899.5566078,18648.9203949,520.9182501,507908.9394834,364.2875996,342.1175857,172.9187199,7.2033552
1166,9,6393.4811876,8438.0068135,281.0978291,124578.548036,2716.963098,368.7097855,168.5110026,9.3071717
1177,9,7366.4215345,11908.0437151,349.6020156,552653.3446126,978.703967,680.4622966,310.2127287,5.9467992
1179,9,7576.982248,1593.6314117,442.4144397,308146.2113772,48.9599251,309.3982533,172.0240332,7.7620938
1185,9,7930.1508986,5426.9670655,103.5317221,23860.0190546,4809.1135103,423.9120084,228.5308993,8.4099199
1189,9,8259.5492972,2173.4371611,121.6109876,15298.9746025,3922.9871014,187.8873261,57.571572,7.8359407
1197,9,8874.7251629,1843.3970573,131.5126081,22415.6999987,3816.3692269,261.4309458,103.7053878,8.5511043
1198,9,8800.2911044,5331.6457308,152.7592382,16873.2042851,4153.8358142,166.1761635,40.6606745,9.5929188
1199,9,8867.7050789,13511.734958,122.4248602,35895.6741197,5194.931297,364.4403482,141.4205374,6.5206368
1206,9,9590.7790614,15740.4818879,398.368122,158375.4273715,3108.5646804,227.1736235,72.4351933,9.0196767
1221,9,11444.3490281,5905.0859641,117.9231642,34354.29228,4485.1921003,539.4902558,325.8318421,9.3734412
1222,9,11254.0037032,16475.5956418,522.4326239,293869.4146469,1510.3181452,248.5453803,110.7035972,9.1043391
1223,9,11696.7157836,9775.9710543,124.9016265,31854.7164847,4469.8404058,380.7533621,178.2862526,7.9481762
1228,9,12425.7449711,3937.0262819,347.0576801,99782.4019348,3095.5942973,167.8652254,39.8739148,8.094755
1240,9,13641.5172543,3875.726192,553.5618703,511154.1006039,445.3348078,171.8455282,46.9568089,4.1466127
1246,9,14018.1671402,5581.3191555,816.6506577,1139051.0594213,906.3126517,331.02769,154.7553952,7.6138202
1250,9,14561.2303827,12212.5501665,465.8687771,315556.8395527,359.3654702,251.5306925,123.8196281,6.852573
1255,9,15637.6772584,8105.2155176,417.0374319,227384.6387194,846.0697319,235.9039676,105.189064,7.1603214
1257,10,1538.2865431,12967.423182,454.8160097,208193.1847624,823.4833999,239.9320146,147.0106473,9.4175199
1262,10,2125.812816,16801.4773517,148.3488899,92015.9982068,2954.5351163,462.2910493,264.3336503,4.614763
1269,10,3252.3672536,7343.8370916,436.7640392,270594.6202872,1680.3750903,299.5679631,140.1811279,8.3398
1292,10,5192.2833239,16872.4033798,455.4020578,229456.1500692,2810.1919653,255.8944434,91.3704443,9.1337133
1294,10,5239.8980356,4415.299281,112.4385718,46972.1020572,4293.8140707,339.2787212,138.9690373,4.0019934
1295,10,5166.9760565,8818.3274666,527.3727231,397708.0062533,2589.9822071,280.2440443,93.2664791,7.7319467
1297,10,5174.4210991,19636.7127925,156.2729919,101946.7686427,4210.8198006,616.2061837,362.3824322,6.0977844
1306,10,6058.9760051,12319.0953851,153.8160575,92743.6260583,4764.6708443,483.915325,224.2623259,5.1238311
1318,10,6997.8839705,6749.2269211,109.0382969,18361.7705314,4208.6433823,250.3756254,91.9587282,7.1221514
1322,10,7358.7317011,11907.2405534,270.6195911,236158.9320538,4352.4247946,726.7077521,358.6738531,8.9539685
1324,10,7536.0204313,7519.840764,99.5314253,12542.166483,3945.4345005,267.7431666,120.5669252,9.4505461
1329,10,7943.3287337,5434.8863997,115.638141,29258.2217173,4658.6366366,295.1808425,112.4590092,5.8603326
1343,10,8876.7506747,13488.6023306,160.5493254,58192.7950747,4491.585071,463.4480777,221.6199552,8.4541199
1347,10,8909.0706933,14828.7122707,19.4901795,2161.0514961,4856.6506667,264.8308588,98.9671767,8.4958232
1355,10,9747.8364973,18037.6605491,553.6983266,512260.9149658,286.1412286,240.2266594,98.4572984,5.7029773
1370,10,11448.5054132,5899.991746,130.1648465,40515.0007092,4497.249691,450.2334625,239.2697871,7.9645649
1371,10,11705.2012763,9804.216779,144.003521,40391.3997947,4326.9737924,401.7146151,192.3003306,8.6054376
1392,10,14450.7586436,10310.483623,492.6627606,348011.0546314,1605.3097992,293.3507179,124.2745086,8.070822
1402,11,2059.2445581,11423.9931883,250.8290977,159092.5289138,2050.7989046,515.7012288,275.6610472,8.1427595
1404,11,2120.3107463,16795.2618258,132.714007,73261.2130721,3355.8181614,546.9296842,357.5829655,5.5522783
1408,11,3571.181197,4309.2751297,498.6992435,363464.6816392,400.8607703,217.6461394,93.3852007,5.9194855
1409,11,3483.5115389,7471.2953296,14.1740691,2169.5662868,4629.7025056,296.2721689,127.6308537,8.4993166
1419,11,4457.8215393,12185.5608248,447.2661824,199303.0461097,2520.6293822,213.1876811,64.6160055,8.4756683
1425,11,5194.4103181,4395.9513136,103.5311657,44744.4137687,4283.7354178,342.1227027,135.8620442,3.6604806
1428,11,5258.4124409,13703.4115763,356.7352854,190989.9536076,2353.4236865,331.7524547,133.7928639,8.7500943
1429,11,5175.8953703,19645.7132902,157.9510616,115967.7888529,3913.2282654,743.890327,489.9440999,6.5945041
1436,11,6057.2836757,12315.3834397,147.0399262,91753.47494,4888.3330349,459.1025574,190.0640607,4.5213691
1454,11,7370.3935776,11889.6717779,244.2834384,177894.5844205,5054.2935342,523.1179725,192.0851821,7.0198177
1459,11,7938.4617021,5407.3442691,111.2708062,29838.8061889,4627.2516871,276.7282575,99.1650289,5.0406109
1461,11,7998.9794152,12479.3494,368.5516725,205220.3428481,2986.4956705,338.7420142,128.4693033,8.8666025
1467,11,8254.4004758,19340.0504645,515.9629649,366477.6879948,0.000123,260.9709116,142.8634629,7.4891968
1473,11,8892.935013,13487.6550826,144.0147839,40709.3127471,4933.4156286,470.5362417,214.5845268,9.9857338
1483,11,10031.3440001,4618.8159541,438.7130905,315245.345746,1710.9656728,316.1192506,139.4569442,7.6236109
1486,11,10316.1300326,15610.2357529,4.7346395,1904.8906015,4944.6718702,226.3210808,73.8646229,6.6024932
1490,11,11041.2329332,13686.9372812,219.9654043,45009.9460137,3499.4948608,222.9545012,66.7911751,9.6789475
1494,11,11443.0412636,5917.1350982,101.179276,26295.9623527,4741.4808858,494.0649295,305.2066438,8.5317992
1495,11,11671.5214642,9790.1946372,117.1813976,30187.9324829,4502.4689477,252.3838331,82.0237168,4.9979154
1500,11,12371.1881817,13585.3525353,451.1165625,252830.2081358,2096.1350945,299.0744539,126.1417886,9.4920755
1533,12,2123.9820205,16800.7933497,130.2292563,68966.6345721,3443.1673483,442.3177324,221.1834149,4.6220015
1548,12,4289.5505696,3906.5111503,494.0785418,420972.9723242,402.2861726,255.8867706,104.368827,5.884212
1557,12,5210.9344762,4443.4251925,107.0241857,38680.1130951,4184.1437529,279.3060929,98.2531267,3.6808522
